model_name,model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05,fixed_name,random_name,AIC,BIC,delta_AIC,delta_BIC,AIC_rank,singular
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,Group:AUCi_z,4.907300354942438,1,0.026743408380154918,0.027,*,TRUE,group_auci_session_add,id_session_slope_diag,-221.64617553839446,-180.6529707119414,8.226987672470386,28.723590085696912,11,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,Group:AUCi_z,5.460417773115073,1,0.01945199545011427,0.019,*,TRUE,group_auci_med_add,id_medication_slope_diag,-220.98321358306987,-179.99000875661682,8.889949627794977,29.386552041021503,12,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,Group:AUCi_z,5.312677655410288,1,0.021170793641479394,0.021,*,TRUE,group_auci_med_add,id_session_slope_diag,-220.98103854798967,-179.98783372153662,8.892124662875176,29.388727076101702,13,TRUE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,Group:AUCi_z,6.3884973434534,1,0.01148622219381101,0.011,*,TRUE,group_auci_med_session_add,id_medication_slope_diag,-220.0484287241594,-168.80692269109312,9.824734486705438,40.5696381065452,14,TRUE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,Group:AUCi_z,6.3884973434534,1,0.01148622219381101,0.011,*,TRUE,group_auci_session_med,id_medication_slope_diag,-220.0484287241594,-168.80692269109312,9.824734486705438,40.5696381065452,15,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,Group:AUCi_z,6.199968237138544,1,0.012775260541326496,0.013,*,TRUE,group_auci_med_session_add,id_session_slope_diag,-219.83206918215285,-168.59056314908656,10.041094028711996,40.785997648551756,16,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,Group:AUCi_z,6.199968237138544,1,0.012775260541326496,0.013,*,TRUE,group_auci_session_med,id_session_slope_diag,-219.83206918215285,-168.59056314908656,10.041094028711996,40.785997648551756,17,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,Group:AUCi_z,3.957196768081423,1,0.046671363787927606,0.047,*,TRUE,group_auci_med_interaction,id_session_slope_diag,-218.53674811316625,-167.29524208009997,11.336415097698591,42.08131871753835,18,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,Group:AUCi_z,4.200841592222092,1,0.04040392281614276,0.040,*,TRUE,group_auci_med_interaction,id_medication_slope_diag,-218.50088597878073,-167.25937994571444,11.372277232084116,42.11718085192388,19,TRUE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group:AUCi_z,6.979664977622568,1,0.008244104041294378,0.008,**,TRUE,group_auci_by_medication,id_medication_slope_diag,-216.5081876456112,-144.7700791993184,13.364975565253644,64.60648159831993,20,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group:AUCi_z,6.157864749361427,1,0.013082904614858098,0.013,*,TRUE,group_auci_by_medication,id_session_slope_diag,-216.3271910763034,-144.58908263001058,13.545972134561453,64.78747816762774,21,TRUE
group_auci__none,group_auci__none,Group:AUCi_z,9.755624487808648,1,0.0017877490258061729,0.002,**,TRUE,group_auci,none,-153.34063219641496,-136.26013018539285,76.53253101444989,73.11643061224547,22,FALSE
group_auci_med_add__none,group_auci_med_add__none,Group:AUCi_z,10.844771940598587,1,9.907508100391526e-4,<0.001,***,TRUE,group_auci_med_add,none,-148.9624581298773,-121.63365491224192,80.91070508098755,87.7429058853964,23,FALSE
group_auci_session_add__none,group_auci_session_add__none,Group:AUCi_z,9.782278919538683,1,0.0017620179125684198,0.002,**,TRUE,group_auci_session_add,none,-148.26680408994508,-120.93800087230971,81.60635912091976,88.4385599253286,24,FALSE
group_auci_med_interaction__none,group_auci_med_interaction__none,Group:AUCi_z,10.604064844876664,1,0.0011283931387502531,0.001,**,TRUE,group_auci_med_interaction,none,-144.6078926977645,-107.03078827351587,85.26527051310035,102.34577252412245,25,FALSE
group_auci_med_session_add__none,group_auci_med_session_add__none,Group:AUCi_z,11.164196481334674,1,8.339107877275645e-4,<0.001,***,TRUE,group_auci_med_session_add,none,-144.45803208147026,-106.88092765722163,85.41513112939458,102.49563314041669,26,FALSE
group_auci_session_med__none,group_auci_session_med__none,Group:AUCi_z,11.164196481334674,1,8.339107877275645e-4,<0.001,***,TRUE,group_auci_session_med,none,-144.45803208147026,-106.88092765722163,85.41513112939458,102.49563314041669,27,FALSE
group_auci_by_medication__none,group_auci_by_medication__none,Group:AUCi_z,7.2859427671912,1,0.0069496250005577735,0.007,**,TRUE,group_auci_by_medication,none,-142.0638400200699,-83.99013318259476,87.80932319079494,125.38642761504356,28,FALSE
